rdkit_SMILES,pIC50,References_type,References_detail,Year,MOSES_passed,vocab_checked
CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(C(=O)N5CCC(OC)C5)sc34)ccc12,9.853871964321762,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
CNC(=O)Nc1ccc(Oc2ncnc3cc(OCCCN4CCCCC4)c(OC)cc23)cc1Cl,9.69897000433602,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CNC(=O)c1c(C)sc2cc(Oc3ccnc4cc(-c5nccn5C)sc34)ccc12,9.67778070526608,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
Cc1c(C(=O)NC2CC2)c2ccc(Oc3ccnc4cc(-c5nccn5C)sc34)cc2n1C,9.66354026615147,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
O=C1Nc2ccccc2C1=CNc1ccc(OCCCCN2CCOCC2)cc1,9.619788758288394,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
O=C1Nc2ccccc2C1=CNc1ccc(OCCCCN2CCCCC2)cc1,9.619788758288394,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,9.602059991327964,Patent, PFIZER INC; US2004/224988; (2004); A1;,2004,YES,True
CN1CCN(CCCCOc2ccc(NC=C3C(=O)Nc4ccccc43)cc2)CC1,9.585026652029182,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
CCN(CC)CCCOc1ccc(NC=C2C(=O)Nc3ccccc32)cc1,9.481486060122112,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
O=C1Nc2ccccc2C1=CNc1ccc(OCCCN2CCCC2)cc1,9.468521082957745,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
O=C1Nc2ccccc2C1=CNc1ccc(OCCCN2CCOCC2)cc1,9.468521082957745,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
COc1ccccc1NC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1F,9.397940008672036,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; EP1384712; (2004); A1;,2004,YES,True
CCCNC(=O)Nc1ccc(Oc2ccnc3cc(OCCCN(C)CCO)c(OC)cc23)cc1Cl,9.397940008672036,Patent, Kyowa Kirin (in: Kirin Holdings); KIRIN HOLDINGS CO LTD; US6797823; (2004); B1;,2004,YES,True
CCCNC(=O)c1c(C)n(C)c2cc(Oc3ccnc4cc(-c5nccn5C)sc34)ccc12,9.397940008672036,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
Nc1cccc(NC=C2C(=O)Nc3ccccc32)c1,9.337242168318426,Patent, ABBVIE INC; US2006/63940; (2006); A1;,2006,YES,True
CNC(=O)c1c(C)n(C)c2cc(Oc3ccnc4cc(C(=O)N5CCCC5CO)sc34)ccc12,9.327902142064282,Patent, PFIZER INC; CORTICAL; US2004/9965; (2004); A1;,2004,YES,True
